age,income,credit_score,education,employment_status,years_employed,account_balance,num_credit_cards,debt_ratio,marital_status,state,customer_since
49.0,97490.0,,Bachelor,Unemployed,0.0,33550.0,5.0,0.261,Divorced,IL,2024-06-18 12:53:24.213453
40.0,76870.0,689.0,PhD,Full-time,13.2,19703.0,4.0,0.245,Married,Other,2023-07-31 12:53:24.213453
52.0,81894.0,710.0,Some College,Full-time,22.5,43607.0,2.0,0.196,Married,CA,2023-04-13 12:53:24.213453
65.0,90796.0,773.0,Master,Retired,0.0,57112.0,5.0,0.159,Single,Other,2023-08-08 12:53:24.213453
38.0,70473.0,624.0,Some College,Full-time,10.4,27887.0,4.0,0.288,Married,Other,2022-05-21 12:53:24.213453
38.0,65902.0,682.0,Some College,Retired,0.0,15536.0,3.0,0.269,Divorced,Other,2023-07-11 12:53:24.213453
66.0,115428.0,809.0,High School,Part-time,34.1,52517.0,5.0,0.093,Married,Other,2022-07-26 12:53:24.213453
54.0,93528.0,727.0,High School,Part-time,27.3,31874.0,4.0,0.194,Married,Other,2023-12-05 12:53:24.213453
35.0,71243.0,692.0,Bachelor,Full-time,10.8,,2.0,0.235,Married,CA,2023-10-16 12:53:24.213453
50.0,69971.0,744.0,Some College,Part-time,20.4,,4.0,0.241,Single,IL,2024-08-31 12:53:24.213453
35.0,75261.0,628.0,High School,Full-time,10.4,,5.0,0.278,Married,TX,2023-05-18 12:53:24.213453
35.0,58464.0,637.0,Bachelor,Full-time,12.0,29877.0,2.0,0.321,Married,Other,2024-10-20 12:53:24.213453
46.0,103129.0,714.0,Some College,Full-time,18.8,37884.0,4.0,,Married,Other,2024-06-27 12:53:24.213453
18.0,,542.0,Bachelor,Unemployed,0.0,,1.0,0.465,Married,Other,2022-07-19 12:53:24.213453
18.0,56039.0,631.0,Some College,Unemployed,0.0,35249.0,1.0,0.327,Single,Other,2024-11-09 12:53:24.213453
34.0,56969.0,649.0,Bachelor,Full-time,11.4,13112.0,2.0,0.329,Married,NC,2022-03-27 12:53:24.213453
27.0,33729.0,603.0,Bachelor,Part-time,3.1,7247.0,1.0,0.399,Divorced,TX,2022-12-21 12:53:24.213453
47.0,66242.0,643.0,Some College,Full-time,17.8,14400.0,2.0,0.308,Divorced,NY,2023-11-19 12:53:24.213453
28.0,40195.0,639.0,Some College,Full-time,3.6,11905.0,2.0,0.365,Married,TX,2024-09-13 12:53:24.213453
21.0,40862.0,563.0,Some College,Full-time,0.0,22439.0,1.0,0.382,Single,Other,2022-10-17 12:53:24.213453
64.0,,797.0,Bachelor,Full-time,34.7,75877.0,7.0,0.197,Married,TX,2023-11-02 12:53:24.213453
39.0,52894.0,674.0,Some College,Full-time,9.3,25476.0,3.0,,Married,Other,2023-08-15 12:53:24.213453
43.0,67135.0,733.0,High School,Full-time,16.8,17858.0,4.0,0.212,Single,Other,2023-01-05 12:53:24.213453
21.0,66634.0,586.0,High School,Full-time,0.0,,3.0,0.3,Single,GA,2023-03-10 12:53:24.213453
34.0,79913.0,587.0,Some College,Full-time,9.0,36094.0,3.0,0.309,Single,TX,2023-07-16 12:53:24.213453
44.0,75545.0,709.0,Some College,Full-time,20.2,40685.0,3.0,0.241,Married,NY,2024-04-04 12:53:24.213453
25.0,41070.0,666.0,Bachelor,Full-time,3.2,16406.0,1.0,0.339,Married,NY,2024-11-29 12:53:24.213453
48.0,76800.0,754.0,High School,Full-time,23.4,10241.0,3.0,,Married,Other,2023-09-16 12:53:24.213453
33.0,61703.0,663.0,Some College,Full-time,8.4,10213.0,3.0,0.312,Single,CA,2023-10-09 12:53:24.213453
38.0,44658.0,640.0,Bachelor,Full-time,14.7,12886.0,1.0,0.306,Married,Other,2023-11-13 12:53:24.213453
33.0,48639.0,668.0,Bachelor,Full-time,12.1,12298.0,2.0,0.373,Single,Other,2024-01-14 12:53:24.213453
70.0,82971.0,760.0,Some College,Full-time,40.0,35539.0,5.0,0.189,Married,TX,2023-01-09 12:53:24.213453
42.0,71988.0,708.0,Some College,Full-time,13.8,14772.0,4.0,0.263,Married,Other,2022-03-17 12:53:24.213453
26.0,51708.0,641.0,Some College,Full-time,2.7,27753.0,3.0,0.303,Married,Other,2024-07-22 12:53:24.213453
54.0,76752.0,767.0,Master,Full-time,24.9,28466.0,4.0,0.169,Married,Other,2022-03-26 12:53:24.213453
24.0,62610.0,713.0,High School,Full-time,2.6,18815.0,3.0,0.243,Single,TX,2024-06-04 12:53:24.213453
45.0,52114.0,695.0,Master,Full-time,19.8,22604.0,2.0,0.292,Married,TX,2023-11-21 12:53:24.213453
18.0,,555.0,Bachelor,Full-time,0.0,9588.0,0.0,0.394,Single,FL,2022-05-21 12:53:24.213453
22.0,39367.0,601.0,Bachelor,Retired,0.0,19355.0,1.0,0.453,Single,IL,2024-12-04 12:53:24.213453
45.0,86206.0,664.0,High School,Retired,0.0,38991.0,3.0,0.247,Single,Other,2022-04-18 12:53:24.213453
53.0,107759.0,742.0,Some College,Full-time,27.7,49558.0,5.0,,Married,Other,2023-06-15 12:53:24.213453
45.0,63617.0,682.0,Some College,Full-time,17.4,13345.0,2.0,,Married,Other,2023-09-10 12:53:24.213453
40.0,79180.0,679.0,High School,Full-time,14.5,32880.0,4.0,0.246,Single,CA,2023-03-24 12:53:24.213453
37.0,57922.0,669.0,Bachelor,Full-time,11.4,22513.0,2.0,0.323,Single,CA,2022-11-01 12:53:24.213453
20.0,30411.0,562.0,PhD,Unemployed,0.0,,1.0,0.381,Married,Other,2025-01-21 12:53:24.213453
31.0,,685.0,Bachelor,Full-time,1.5,20771.0,3.0,0.321,Married,NY,2024-09-29 12:53:24.213453
35.0,65285.0,666.0,Bachelor,Full-time,10.4,34637.0,4.0,0.263,Married,NY,2024-10-17 12:53:24.213453
58.0,66354.0,736.0,High School,Full-time,28.6,30528.0,5.0,,Married,Other,2022-08-12 12:53:24.213453
47.0,95648.0,723.0,Some College,Retired,0.0,38087.0,7.0,0.197,Single,CA,2024-06-03 12:53:24.213453
18.0,50701.0,605.0,High School,Full-time,0.3,10663.0,1.0,0.395,Single,Other,2024-04-08 12:53:24.213453
47.0,64117.0,726.0,Bachelor,Full-time,18.2,16150.0,3.0,0.267,Single,NY,2022-11-27 12:53:24.213453
36.0,62937.0,641.0,Master,Full-time,12.7,,2.0,0.315,Married,Other,2024-09-24 12:53:24.213453
32.0,58410.0,631.0,Bachelor,Full-time,8.7,25181.0,3.0,0.351,Single,Other,2023-08-21 12:53:24.213453
51.0,83410.0,723.0,High School,Full-time,25.7,25096.0,4.0,0.195,Married,TX,2023-12-03 12:53:24.213453
57.0,,707.0,Some College,Full-time,26.7,11955.0,3.0,0.228,Married,Other,2022-06-28 12:53:24.213453
56.0,76926.0,716.0,Bachelor,Unemployed,,17178.0,,,Married,MI,2024-03-09 12:53:24.213453
29.0,46117.0,,Some College,Unemployed,0.0,20057.0,1.0,0.369,Single,Other,2022-06-18 12:53:24.213453
37.0,76091.0,709.0,Bachelor,Part-time,12.9,18241.0,1.0,0.238,Married,TX,2024-06-09 12:53:24.213453
47.0,81654.0,727.0,Bachelor,Full-time,16.9,55451.0,3.0,0.252,Married,Other,2022-11-18 12:53:24.213453
57.0,82941.0,756.0,Bachelor,Full-time,26.9,69832.0,5.0,0.191,Married,PA,2022-12-31 12:53:24.213453
35.0,67075.0,694.0,Some College,Full-time,11.2,22124.0,4.0,0.254,Married,Other,2023-12-30 12:53:24.213453
39.0,20000.0,629.0,Some College,Full-time,15.3,,1.0,0.376,Married,Other,2022-12-03 12:53:24.213453
25.0,57731.0,640.0,High School,Full-time,1.0,24969.0,3.0,0.33,Single,NC,2024-08-12 12:53:24.213453
